0,iw8_sm_t9heavy_variant_0,iw8_sm_t9heavy,,,,,,,,,,,,,,,WEAPON_TANGO/SM_T9HEAVY,ui_loot_weapon_sm_t9heavy,,,,
1,iw8_sm_t9heavy_variant_1,iw8_sm_t9heavy,,rec|1 front|1 back|1 mag|1,,,laser|0,gripangpro|1,holo2|0,,pistolgrip04|1,stockno|1,,,,,WEAPON_TANGO/SM_T9HEAVY_V2,ui_loot_weapon_sm_t9heavy_v1,,,,
2,iw8_sm_t9heavy_variant_2,iw8_sm_t9heavy,,rec|2 front|2 back|2 mag|2,silencer2|0,,,gripcust2|1,,,pistolgrip04|2,,,,,,WEAPON_TANGO/SM_T9HEAVY_V3,ui_loot_weapon_sm_t9heavy_v2,,,,
3,iw8_sm_t9heavy_variant_3,iw8_sm_t9heavy,iw8_sm_t9heavy_mpmtx,rec|3 front|3 back|3 mag|3,linearbrake|1,barlong|1,laserads|0,gripcust|1,,,pistolgrip05|1,,,,,,WEAPON_TANGO/SM_T9HEAVY_V4,ui_loot_weapon_sm_t9heavy_v3,,purple,,
4,iw8_sm_t9heavy_variant_4,iw8_sm_t9heavy,,rec|4 front|4 back|4 mag|4,comp|0,,laserbalanced|0,gripang|1,,,pistolgrip05|0,stockl|1,,,,,WEAPON_TANGO/SM_T9HEAVY_V5,ui_loot_weapon_sm_t9heavy_v4,,,,
5,iw8_sm_t9heavy_variant_5,iw8_sm_t9heavy,,rec|5 front|5 back|5 mag|5,silencer3|0,barcust3|1,,,,,pistolgrip03|0,stockno|2,,,,,WEAPON_TANGO/SM_T9HEAVY_V6,ui_loot_weapon_sm_t9heavy_v5,,,,
6,iw8_sm_t9heavy_variant_6,iw8_sm_t9heavy,,rec|6 front|6 back|6 mag|6,,barcust3|2,,,,xmags|1,,stocks|1,,,,,WEAPON_TANGO/SM_T9HEAVY_V7,ui_loot_weapon_sm_t9heavy_v6,,,,
7,iw8_sm_t9heavy_variant_7,iw8_sm_t9heavy,,rec|7 front|7 back|7 mag|7,silencer2|1,barshort|1,,gripcust|2,,,,stocks|2,,,,,WEAPON_TANGO/SM_T9HEAVY_V8,ui_loot_weapon_sm_t9heavy_v7,,,,
8,iw8_sm_t9heavy_variant_8,iw8_sm_t9heavy,,rec|8 front|8 back|8 mag|8,,barmid|1,,,reflexmini|1,xmagslrg|1,pistolgrip01|1,stockcust|2,,,,,WEAPON_TANGO/SM_T9HEAVY_V9,ui_loot_weapon_sm_t9heavy_v8,,,,
9,iw8_sm_t9heavy_variant_9,iw8_sm_t9heavy,iw8_sm_t9heavy_mpmc,rec|9 front|9 back|9 mag|9,silencer4|1,barcust3|3,lasermix2|1,gripangpro|2,,,,stockfold|1,,,,,WEAPON_TANGO/SM_T9HEAVY_V10,ui_loot_weapon_sm_t9heavy_v9,,,,
10,iw8_sm_t9heavy_variant_10,iw8_sm_t9heavy,,rec|10 front|10 back|10 mag|10 guard|10,linearbrake|2,,laser|0,,,smags|1,pistolgrip02|1,stockh|3,,,,,WEAPON_VICTOR/SM_T9HEAVY_V11,ui_loot_weapon_sm_t9heavy_v10,,,,
